context_participant,context_block_code,subject,grade,blockContent,language,accommodation,modality,context_accession_number,context_accession_number,act_seq_acc,n_enter_item,n_enter_block,n_exit_item,n_update_singleselect,n_click_itemtab,n_trigger_scroll,n_next_button,n_clear_singleselect,n_input_equationeditor,n_update_mathinput,n_add_drag,n_more_button,n_bottomreached_scroll,n_update_zone,n_activate_scratchwork,n_start_scratchwork,n_end_scratchwork,n_deactivate_scratchwork,n_update_scratchwork,n_clear_scratchwork,n_open_equationeditor,n_close_equationeditor,n_top_button,n_changestate_iic,n_update_iic,n_update_inlinechoice,n_update_multiselect,n_remove_drag,n_previous_button,n_clear_multiselect,n_show_help,n_in_zoom,n_out_zoom,n_activate_tts,n_deactivate_tts,n_speak_tts,n_change_theme,n_clear_drag,n_erasemode_scratchwork,n_replace_drag,n_drawmode_scratchwork,n_hide_timer,n_show_timer,n_highlightmode_scratchwork,n_clear_zone,n_hide_help,n_clear_inlinechoice,enter_item_bool,enter_block_bool,exit_item_bool,update_singleselect_bool,click_itemtab_bool,trigger_scroll_bool,next_button_bool,clear_singleselect_bool,input_equationeditor_bool,update_mathinput_bool,add_drag_bool,more_button_bool,bottomreached_scroll_bool,update_zone_bool,activate_scratchwork_bool,start_scratchwork_bool,end_scratchwork_bool,deactivate_scratchwork_bool,update_scratchwork_bool,clear_scratchwork_bool,ope_bool,close_equationeditor_bool,top_button_bool,changestate_iic_bool,update_iic_bool,update_inlinechoice_bool,update_multiselect_bool,remove_drag_bool,previous_button_bool,clear_multiselect_bool,show_help_bool,i_bool,out_zoom_bool,activate_tts_bool,deactivate_tts_bool,speak_tts_bool,change_theme_bool,clear_drag_bool,erasemode_scratchwork_bool,replace_drag_bool,drawmode_scratchwork_bool,hide_timer_bool,show_timer_bool,highlightmode_scratchwork_bool,clear_zone_bool,hide_help_bool,clear_inlinechoice_bool,n_modalitychanged,modalitychanged_bool
DG36LG,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DJ23JW,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'update_singleselect', 'next_button']",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
DM45NG,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['activate_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,2,True
DR39NR,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DV79NH,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
DW26CX,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
FJ95QB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FL93MB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'clear_singleselect', 'update_singleselect', 'next_button']",0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
FN62PH,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['update_singleselect', 'click_itemtab', 'click_itemtab']",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
FP79HW,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['trigger_scroll', 'update_singleselect', 'next_button', 'click_itemtab', 'click_itemtab']",0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
FR75RV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,['trigger_scroll'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FR75RV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FX69KL,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FX92GL,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
GD79TJ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,2,True
GF48VF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['trigger_scroll', 'click_itemtab', 'more_button', 'bottomreached_scroll', 'trigger_scroll']",0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
GF48VF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
GK24CX,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
GK68KV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,pen,VH098615,VH098615,"['start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19,True
GK68KV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'activate_scratchwork', 'drawmode_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'drawmode_scratchwork', 'end_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'end_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'start_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'start_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'drawmode_scratchwork', 'deactivate_scratchwork', 'activate_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'deactivate_scratchwork', 'update_singleselect', 'update_singleselect', 'click_itemtab']",0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,17,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20,True
GM37FN,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HC72QB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HC72QB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['click_itemtab', 'click_itemtab', 'click_itemtab']",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
HF73GV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HR69NT,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,['update_singleselect'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HR69NT,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'update_singleselect', 'click_itemtab']",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HS97NF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['click_itemtab', 'update_singleselect', 'click_itemtab']",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HT99ZR,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HX36MB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HY63PL,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098615,VH098615,"['activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,2,True
HY79VX,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098615,VH098615,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
