context_participant,context_block_code,subject,grade,blockContent,language,accommodation,modality,context_accession_number,context_accession_number,act_seq_acc,n_enter_item,n_enter_block,n_update_singleselect,n_next_button,n_trigger_scroll,n_more_button,n_bottomreached_scroll,n_top_button,n_previous_button,n_update_textinput,n_update_zone,n_click_itemtab,n_clear_zone,n_change_theme,n_clear_singleselect,n_activate_scratchwork,n_start_scratchwork,n_end_scratchwork,n_update_scratchwork,n_clear_scratchwork,n_deactivate_scratchwork,n_activate_tts,n_speak_tts,n_deactivate_tts,n_erasemode_scratchwork,n_drawmode_scratchwork,n_highlightmode_scratchwork,n_show_help,n_hide_help,n_hide_timer,n_show_timer,n_in_zoom,n_out_zoom,enter_item_bool,enter_block_bool,update_singleselect_bool,next_button_bool,trigger_scroll_bool,more_button_bool,bottomreached_scroll_bool,top_button_bool,previous_button_bool,update_textinput_bool,update_zone_bool,click_itemtab_bool,clear_zone_bool,change_theme_bool,clear_singleselect_bool,activate_scratchwork_bool,start_scratchwork_bool,end_scratchwork_bool,update_scratchwork_bool,clear_scratchwork_bool,deactivate_scratchwork_bool,activate_tts_bool,speak_tts_bool,deactivate_tts_bool,erasemode_scratchwork_bool,drawmode_scratchwork_bool,highlightmode_scratchwork_bool,show_help_bool,hide_help_bool,hide_timer_bool,show_timer_bool,i_bool,out_zoom_bool,n_modalitychanged,modalitychanged_bool
DC82FW,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DC82TV,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DF28KR,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DF97FS,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['click_itemtab', 'click_itemtab', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'click_itemtab', 'update_singleselect', 'click_itemtab']",0,0,1,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
DK89MC,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['click_itemtab', 'update_singleselect', 'click_itemtab', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'click_itemtab']",0,0,1,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
DL44KQ,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DR66RP,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
DT75GT,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button', 'previous_button']",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
DV35JH,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['click_itemtab', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'update_singleselect', 'click_itemtab', 'click_itemtab']",0,0,1,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
DZ75WD,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button', 'click_itemtab', 'next_button']",0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
FD43JK,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['click_itemtab', 'click_itemtab']",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
FD43JK,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['click_itemtab', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'click_itemtab']",0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
FV24RT,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FW92FL,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FW92FL,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,['next_button'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
FX84HW,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'next_button', 'next_button', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'next_button']",0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
GJ76RM,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
GR67TJ,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
GY39ZP,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
GZ94PL,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['click_itemtab', 'update_singleselect', 'click_itemtab', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
HC42LS,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['click_itemtab', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'update_singleselect', 'click_itemtab']",0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HM26QP,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HN24JB,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HP52VR,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['more_button', 'bottomreached_scroll', 'trigger_scroll', 'click_itemtab']",0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HP52VR,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'next_button', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'click_itemtab', 'click_itemtab']",0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HS93ZQ,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HX63JX,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['more_button', 'bottomreached_scroll', 'trigger_scroll']",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HX63JX,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['click_itemtab', 'update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HY58LR,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HZ56SY,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button', 'click_itemtab', 'next_button']",0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
JG38JW,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
JW47ST,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button', 'next_button', 'next_button']",0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
JX76DF,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,['next_button'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
JX76DF,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KN25FC,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'click_itemtab', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
KR38PT,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KT73JK,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'update_singleselect', 'next_button']",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
LF48QP,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button', 'next_button']",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
LG85VD,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['previous_button', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
LM57ZF,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['click_itemtab', 'click_itemtab', 'click_itemtab', 'update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
LV57NX,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,touch,VH132000,VH132000,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
MG48ZS,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
MJ76BV,2418SC2T03CLID30EX,Science,8th Grade,Cog,English,no accom,mouse,VH132000,VH132000,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
